start_station_name,hour,trip_count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28
Broadway & W 58 St,2023-01-02 03:00:00,1,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0,2.0,6.0,1.0,1.0,1.0
Broadway & W 58 St,2023-01-02 05:00:00,1,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0,2.0,6.0,1.0,1.0
Broadway & W 58 St,2023-01-02 07:00:00,1,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0,2.0,6.0,1.0
Broadway & W 58 St,2023-01-02 08:00:00,6,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0,2.0,6.0
Broadway & W 58 St,2023-01-02 09:00:00,14,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0,2.0
Broadway & W 58 St,2023-01-02 10:00:00,9,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0,12.0
Broadway & W 58 St,2023-01-02 11:00:00,26,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0,5.0
Broadway & W 58 St,2023-01-02 12:00:00,18,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0,7.0
Broadway & W 58 St,2023-01-02 13:00:00,36,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0,4.0
Broadway & W 58 St,2023-01-02 14:00:00,26,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0,1.0
Broadway & W 58 St,2023-01-02 15:00:00,19,26.0,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0,5.0
Broadway & W 58 St,2023-01-02 16:00:00,17,19.0,26.0,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0,15.0
Broadway & W 58 St,2023-01-02 17:00:00,15,17.0,19.0,26.0,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0,12.0
Broadway & W 58 St,2023-01-02 18:00:00,17,15.0,17.0,19.0,26.0,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0,14.0
Broadway & W 58 St,2023-01-02 19:00:00,18,17.0,15.0,17.0,19.0,26.0,36.0,18.0,26.0,9.0,14.0,6.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,8.0,10.0,19.0,31.0,17.0,28.0,25.0,19.0,17.0
